"","n1","n2","n3","n4","score"
"100",0.05,0.3,0.55,0.1,21.3411418251965
"211",0.1,0.2,0.6,0.1,21.3398592214082
"217",0.1,0.25,0.55,0.1,21.3103422328935
"263",0.1,0.2,0.5,0.2,21.303604287659
"266",0.1,0.2,0.45,0.25,21.303604287659
"205",0.1,0.15,0.65,0.1,21.3023216838707
"40",0.05,0.35,0.55,0.05,21.2955837386361
"112",0.05,0.35,0.5,0.1,21.2955837386361
"175",0.05,0.3,0.45,0.2,21.2888457934016
"34",0.05,0.3,0.6,0.05,21.2808252443788
"88",0.05,0.25,0.6,0.1,21.2808252443788
"272",0.1,0.2,0.4,0.3,21.2808252443788
"281",0.1,0.25,0.4,0.25,21.2808252443788
"151",0.05,0.3,0.5,0.15,21.2740872991442
"94",0.1,0.25,0.6,0.05,21.2728046953559
"268",0.1,0.25,0.45,0.2,21.2660667501214
"277",0.1,0.2,0.35,0.35,21.2660667501214
"82",0.1,0.2,0.65,0.05,21.2647841463331
"62",0.05,0.1,0.7,0.15,21.2580462010986
"241",0.1,0.2,0.55,0.15,21.2580462010986
"271",0.1,0.2,0.3,0.4,21.2580462010986
"190",0.05,0.3,0.4,0.25,21.2513082558641
"244",0.1,0.15,0.25,0.5,21.2513082558641
"85",0.05,0.1,0.25,0.6,21.2432877068412
"247",0.1,0.25,0.5,0.15,21.2432877068412
"110",0.05,0.1,0.5,0.35,21.2352671578184
"122",0.05,0.1,0.45,0.4,21.2352671578184
"181",0.05,0.35,0.4,0.2,21.2285292125839
"256",0.1,0.15,0.35,0.4,21.2285292125839
"257",0.1,0.15,0.4,0.35,21.2285292125839
"145",0.05,0.25,0.55,0.15,21.2217912673494
"86",0.05,0.1,0.6,0.25,21.2205086635611
"118",0.1,0.35,0.5,0.05,21.2205086635611
"236",0.1,0.15,0.6,0.15,21.2205086635611
"251",0.1,0.15,0.45,0.3,21.2205086635611
"265",0.1,0.2,0.25,0.45,21.2205086635611
"61",0.05,0.1,0.15,0.7,21.2124881145382
"223",0.1,0.3,0.5,0.1,21.2124881145382
"157",0.05,0.35,0.45,0.15,21.2057501693037
"250",0.1,0.15,0.3,0.45,21.2057501693037
"70",0.1,0.15,0.7,0.05,21.2044675655154
"173",0.05,0.2,0.45,0.3,21.1990122240692
"185",0.05,0.25,0.45,0.25,21.1990122240692
